state,parlimen,dun,code_state,code_parlimen,code_dun,code_state_dun,year,area_km2,population_total,nationality_citizen,nationality_non_citizen,sex_male,sex_female,ethnicity_proportion_bumi,ethnicity_proportion_chinese,ethnicity_proportion_indian,ethnicity_proportion_other,age_proportion_0_14,age_proportion_15_64,age_proportion_65_above,age_proportion_18_above,housing_total,household_total,household_size_avg,live_births,live_births_male,live_births_female,deaths,deaths_male,deaths_female,labour_participation_rate,labour_unemployment_rate,income_median,income_avg,expenditure_avg,gini,poverty_incidence,sme_small,sme_micro,sme_medium,businesses_agriculture,businesses_crops,businesses_livestock,businesses_fisheries,businesses_forestry,businesses_mining,businesses_manufacturing,businesses_construction,businesses_services,utilities_pipedwater_home,utilities_pipedwater_public,utilities_pipedwater_other,utilities_electricity_home,utilities_electricity_none,constituency_id
Sabah,P.178 Sipitang,N.34 Lumadan,12,P.178,N.34,12_N.34,2020,"1,007",28755,26729,2026,14718,14037,92.6,6.7,0.1,0.6,24.0,65.3,10.7,69.9,6832,6456,4.5,405,215,190,121,73,48,64.4,5.8,3959,4885,2668,0.324,10.1,39.0,415,1.0,5,5,0,0,0,0,7,24,421,92.5,3.7,3.7,100.0,0.0,34
Sabah,P.178 Sipitang,N.35 Sindumin,12,P.178,N.35,12_N.35,2020,"2,708",37828,33729,4099,19671,18157,97.7,1.7,0.1,0.5,27.4,66.0,6.6,66.4,9007,8226,4.6,538,282,256,160,95,65,67.2,7.0,3944,5271,2279,0.34700000000000003,10.5,100.0,833,6.0,12,0,0,0,12,0,29,98,817,98.0,0.5,1.5,100.0,0.0,35
Sabah,P.179 Ranau,N.36 Kundasang,12,P.179,N.36,12_N.36,2020,"1,836",31177,28240,2937,16309,14868,98.8,0.8,0.0,0.5,25.0,68.6,6.4,68.0,6957,6372,4.9,514,266,248,153,90,63,76.5,11.1,2943,4408,2232,0.43,29.8,76.0,803,6.0,9,8,1,0,0,1,1,80,801,36.8,7.0,56.1,99.9,0.1,36
Sabah,P.179 Ranau,N.37 Karanaan,12,P.179,N.37,12_N.37,2020,185,21115,19043,2072,11005,10110,97.8,1.9,0.1,0.2,22.7,71.4,5.9,70.8,4317,3867,5.3,350,183,167,104,62,42,76.8,6.1,4484,5817,3141,0.369,14.6,86.0,621,2.0,3,2,0,0,1,1,15,65,636,61.3,0.0,38.7,100.0,0.0,37
Sabah,P.179 Ranau,N.38 Paginatan,12,P.179,N.38,12_N.38,2020,"1,870",33792,32462,1330,17345,16447,99.0,0.6,0.0,0.4,23.7,70.2,6.1,69.0,6860,6526,5.1,561,299,262,167,101,66,73.9,8.3,3027,4020,2377,0.365,33.6,25.0,362,2.0,1,1,0,0,0,0,1,71,324,18.7,1.7,79.6,100.0,0.0,38
Sabah,P.180 Keningau,N.39 Tambunan,12,P.180,N.39,12_N.39,2020,"1,414",32007,30653,1354,16272,15735,99.2,0.6,0.0,0.2,28.9,62.6,8.5,66.0,7465,7337,4.3,465,249,216,139,84,55,63.2,5.7,3581,4826,2842,0.37799999999999995,16.7,36.0,550,1.0,2,2,0,0,0,0,21,81,491,68.2,0.0,31.8,100.0,0.0,39
Sabah,P.180 Keningau,N.40 Bingkor,12,P.180,N.40,12_N.40,2020,397,38299,36733,1566,19512,18787,95.9,3.3,0.1,0.8,26.9,66.4,6.7,66.8,9142,8644,4.4,553,296,257,165,100,65,63.2,8.8,4529,5904,3138,0.386,15.7,204.0,1101,11.0,27,11,0,0,16,1,47,72,1207,83.3,7.7,9.0,100.0,0.0,40
Sabah,P.180 Keningau,N.41 Liawan,12,P.180,N.41,12_N.41,2020,420,59576,50168,9408,30611,28965,87.4,10.9,0.2,1.5,27.9,67.8,4.3,66.4,15608,14385,4.1,861,459,402,257,155,102,60.4,5.1,4184,5677,2643,0.37,12.7,289.0,1107,18.0,72,37,6,0,29,5,51,117,1190,78.3,3.0,18.7,100.0,0.0,41
Sabah,P.181 Tenom,N.42 Melalap,12,P.181,N.42,12_N.42,2020,638,25084,23777,1307,12998,12086,94.3,5.2,0.1,0.5,25.3,67.2,7.5,68.0,6540,5555,4.5,364,191,173,108,64,44,63.2,5.2,4285,5394,2867,0.361,9.2,100.0,632,5.0,5,3,1,1,0,1,35,107,603,65.4,0.0,34.6,100.0,0.0,42
Sabah,P.181 Tenom,N.43 Kemabong,12,P.181,N.43,12_N.43,2020,"1,819",25146,24249,897,12808,12338,97.7,1.8,0.0,0.5,25.9,67.1,7.0,65.5,5698,5117,4.9,374,200,174,112,68,44,60.0,6.9,3029,3791,2264,0.284,28.6,12.0,112,1.0,1,1,0,0,0,0,6,5,115,38.5,2.2,59.3,100.0,0.0,43
